date,portfolio_value,cash,positions_value,daily_return,daily_pnl,cumulative_return,cumulative_pnl,num_positions
2011-01-03,100000.0,61370.0,38630.0,0.0,0.0,0.0,0.0,8
2011-01-04,99599.74334868314,48574.79483115276,51024.948517530385,-0.0040025665131685675,-400.25665131685673,-0.0040025665131685675,-400.25665131685673,10
2011-01-05,99723.57826978013,71252.49667375788,28471.081596022254,0.0012433257048008978,123.83492109699,-0.0027642173021986674,-276.42173021986673,4
2011-01-06,99422.15717059413,89479.94145353472,9942.215717059415,-0.0030225660211527262,-301.4210991860018,-0.005778428294058686,-577.8428294058685,1
2011-01-07,99399.09929184816,74092.08861214362,25307.010679704545,-0.00023191891427585068,-23.057878745967173,-0.006009007081518357,-600.9007081518357,4
2011-01-10,99502.60505934242,52607.02729487434,46895.57776446808,0.0010413149438139781,103.5057674942509,-0.004973949406575848,-497.3949406575848,9
2011-01-11,99527.80422921773,62224.78320410692,37303.02102511081,0.000253251358195931,25.19916987531178,-0.004721957707822731,-472.19577078227303,7
2011-01-12,99969.82101963344,59572.01634559957,40397.80467403387,0.004441138773620742,442.01679041571333,-0.00030178980366559697,-30.1789803665597,7
2011-01-13,99816.69754153647,72127.54564351426,27689.151898022217,-0.0015316970315160966,-153.12347809696803,-0.0018330245846352772,-183.30245846352773,6
2011-01-14,99828.54388257155,72405.64287802915,27422.901004542407,0.00011868095545990023,11.846341035081423,-0.001714561174284463,-171.4561174284463,6
2011-01-17,98814.0833487339,64021.64460164465,34792.43874708925,-0.010162028758337577,-1014.4605338376568,-0.01185916651266103,-1185.9166512661031,5
2011-01-18,98939.62197362156,65280.3625781955,33659.25939542606,0.0012704527597003589,125.53862488766026,-0.010603780263784428,-1060.3780263784429,6
2011-01-19,98812.95170877426,75848.82173165513,22964.129977119126,-0.0012802784397242986,-126.67026484730013,-0.011870482912257431,-1187.048291225743,3
2011-01-20,98708.88342287176,65927.66323813604,32781.22018473572,-0.0010531846696494901,-104.06828590249643,-0.012911165771282394,-1291.1165771282394,6
2011-01-21,99108.69468502708,58543.50595044552,40565.188734581556,0.004050408112130215,399.8112621553155,-0.00891305314972924,-891.305314972924,8
