,0
2011-01-03,0.0
2011-01-04,-1035.5950000000012
2011-01-05,743.2225000000035
2011-01-06,-1040.3770000000077
2011-01-07,160.1225020000129
2011-01-10,413.1036000000022
2011-01-11,-341.0
2011-01-12,726.0859999999811
2011-01-13,-447.37349999998696
2011-01-14,-262.0
2011-01-17,-65.21820000000298
2011-01-18,158.5496999999741
2011-01-19,-17.193799999979092
2011-01-20,-262.04999999998836
2011-01-21,821.7999999999884
2011-01-24,629.25
2011-01-25,-1542.3799999999756
2011-01-26,2176.524999999994
2011-01-27,-570.125
2011-01-28,-31.000000000014552
2011-01-31,1613.2799999999988
2011-02-01,1259.2199999999866
2011-02-02,-566.5650000000023
2011-02-03,468.1849999999977
2011-02-04,-114.05999999999767
2011-02-07,-643.3800000000047
2011-02-08,1011.5499999999884
2011-02-09,659.820000000007
2011-02-10,337.10999999998603
2011-02-11,-647.429999999993
2011-02-14,-704.7000000000116
2011-02-15,-652.4320000000007
2011-02-16,-26.45000000001164
2011-02-17,2224.899999999994
2011-02-18,1067.7550000000047
2011-02-21,-33346.95000000001
2011-02-22,-1277.0299999999988
2011-02-23,589.929999999993
2011-02-24,-890.2479999999923
2011-02-25,903.609999999986
2011-02-28,726.4500000000116
2011-03-01,906.3375999999989
2011-03-02,-62.24640000000363
2011-03-03,-518.1353999999992
2011-03-04,1705.3074999999953
2011-03-07,-6.4161999999778345
2011-03-08,-7.735000000029686
2011-03-09,-19.51249999999709
2011-03-10,-1071.1521000000066
2011-03-11,-110.125
2011-03-14,153.06988699999056
2011-03-15,-2155.4910999999993
2011-03-16,111.28877799998736
2011-03-17,1739.2901379999967
2011-03-18,-81.86414600000717
2011-03-21,309.5630790000141
2011-03-22,617.7749999999942
2011-03-23,608.8399999999965
2011-03-24,206.04999999998836
2011-03-25,1071.0249999999942
2011-03-28,-309.8999999999942
2011-03-29,512.1199999999953
2011-03-30,-41.054999999993015
2011-03-31,930.5799999999872
2011-04-01,57.93499999999767
2011-04-04,638.7899999999936
2011-04-05,176.67499999998836
2011-04-06,-335.2100000000064
2011-04-07,-68.53500000001804
2011-04-08,1639.30750000001
2011-04-11,-445.7695999999996
2011-04-12,-486.8304000000062
2011-04-13,253.78880000000936
2011-04-14,1287.0357999999833
2011-04-15,653.440499999997
2011-04-18,123.36579999999958
2011-04-19,745.5500000000029
2011-04-20,851.5835999999981
2011-04-21,923.6689000000042
2011-04-25,149.51460000000952
2011-04-26,-297.6172999999835
2011-04-27,1295.1108719999756
2011-04-28,224.2830000000249
2011-04-29,453.93379999998433
2011-05-02,-2256.183036000002
2011-05-03,230.41276000000653
2011-05-04,-1127.9255339999945
2011-05-05,-2343.846076000016
2011-05-06,-496.00132199999643
2011-05-09,150.29803200000606
2011-05-10,105.55630300000485
2011-05-11,-350.2106860000058
2011-05-12,-399.40455200000724
2011-05-13,3.629121000005398
2011-05-16,159.72452999999223
2011-05-17,300.8450080000039
2011-05-18,1181.5551850000047
2011-05-19,-256.0290020000248
2011-05-20,145.3799999999901
2011-05-23,-696.0252139999939
2011-05-24,-216.97500000000582
2011-05-25,548.0599999999977
2011-05-26,253.32399999999325
2011-05-27,156.01799500000197
2011-05-30,-306.7820000000065
2011-05-31,323.0
2011-06-01,-515.8159999999916
2011-06-02,522.1000000000058
2011-06-03,-178.8000000000029
2011-06-06,-1161.2909999999974
2011-06-07,423.0200000000041
2011-06-08,-457.5894999999873
2011-06-09,104.79999999998836
2011-06-10,-1319.479999999996
2011-06-13,-498.3484140000073
2011-06-14,-771.9951839999849
2011-06-15,-141.87927699998545
2011-06-16,-112.88969700003508
2011-06-17,789.0152750000125
2011-06-20,644.1199869999837
2011-06-21,671.5975000000035
2011-06-22,-844.2912000000069
2011-06-23,500.2343140000012
2011-06-24,-413.85334000001603
2011-06-27,-1255.9762399999745
2011-06-28,478.61999999999534
2011-06-29,-89.35999999998603
2011-06-30,-521.6180000000168
2011-07-01,1250.0599999999977
2011-07-04,-25432.235
2011-07-05,72.80000000000291
2011-07-06,-31.72649999999703
2011-07-07,700.7169999999969
2011-07-08,-111.13300000000163
2011-07-11,-300.0
2011-07-12,-38.58099999999831
2011-07-13,660.2320000000109
2011-07-14,-312.2044999999998
2011-07-15,375.1759999999922
2011-07-18,-211.59399999999005
2011-07-19,-1054.8250000000116
2011-07-20,-130.4560000000056
2011-07-21,-270.6884999999893
2011-07-22,63.02749999999651
2011-07-25,-920.6499999999942
2011-07-26,324.9215000000113
2011-07-27,-274.4117700000061
2011-07-28,-211.42106100000092
2011-07-29,274.40122499999416
2011-08-01,-483.22697000000335
2011-08-02,426.7246080000041
2011-08-03,30.796149999994668
2011-08-04,-1868.1249999999927
2011-08-05,106.04999999999563
2011-08-08,-173.9499999999971
2011-08-09,593.8210800000015
2011-08-10,93.6733000000022
2011-08-11,35.13260000000446
2011-08-12,-271.65939200000867
2011-08-15,248.6999999999971
2011-08-16,274.6999999999971
2011-08-17,-49.67619600000762
2011-08-18,116.9091760000083
2011-08-19,509.4171839999908
2011-08-22,1057.800000000003
2011-08-23,-890.1999999999971
2011-08-24,-912.3600000000006
2011-08-25,114.67500000000291
2011-08-26,1352.7000000000116
2011-08-29,-122.39999999999418
2011-08-30,196.1600000000035
2011-08-31,179.3000000000029
2011-09-01,-467.8099999999977
2011-09-02,-158.67999999999302
2011-09-05,-512.3099999999977
2011-09-06,-345.4400000000023
2011-09-07,-191.0500000000029
2011-09-08,-714.1299999999974
2011-09-09,239.32999999999447
2011-09-12,-496.1299999999901
2011-09-13,-320.00500000000466
2011-09-14,-221.52000000000407
2011-09-15,-9.430000000000291
2011-09-16,-293.679999999993
2011-09-19,-808.8492000000042
2011-09-20,8.680527000004076
2011-09-21,-498.49336000000767
2011-09-22,-557.8286549999902
2011-09-23,188.60710000000836
2011-09-26,409.2689979999923
2011-09-27,13.875220000001718
2011-09-28,-107.92072100000223
2011-09-29,274.49811500000214
2011-09-30,352.709480000005
2011-10-03,5.09785600000032
2011-10-04,-112.34228900000744
2011-10-05,221.75567400000728
2011-10-06,59.972609999997076
2011-10-07,-25.28048799998942
2011-10-10,-528.5122970000084
2011-10-11,161.62536099999852
2011-10-12,-275.8793799999912
2011-10-13,626.3999999999869
2011-10-14,392.2250000000058
2011-10-17,-204.27499999999418
2011-10-18,450.375
2011-10-19,-457.3600000000006
2011-10-20,-97.44999999999709
2011-10-21,447.7100000000064
2011-10-24,-59.18280000000232
2011-10-25,-185.52230000000418
2011-10-26,-313.22000000000116
2011-10-27,1024.6321000000025
2011-10-28,1.161500000001979
2011-10-31,-733.8119999999981
2011-11-01,-825.0294999999969
2011-11-02,176.36999999999534
2011-11-03,716.0500000000029
2011-11-04,59.049999999995634
2011-11-07,737.4000000000015
2011-11-08,182.95000000000437
2011-11-09,-576.3400000000038
2011-11-10,44.31999999999243
2011-11-11,754.9800000000032
2011-11-14,-260.2099999999991
2011-11-15,157.20000000000437
2011-11-16,65.80000000000291
2011-11-17,-1112.8199999999997
2011-11-18,-99.97999999999593
2011-11-21,555.5349999999889
2011-11-22,395.52500000000146
2011-11-23,-343.09999999999854
2011-11-24,177.32460799999535
2011-11-25,-33.67689999999857
2011-11-28,-156.77330000000075
2011-11-29,363.3135150000089
2011-11-30,374.658179999984
2011-12-01,-308.44673700000567
2011-12-02,-211.76499999999942
2011-12-05,-399.3024999999907
2011-12-06,390.7299999999959
2011-12-07,-301.32199999998556
2011-12-08,-783.7657999999938
2011-12-09,245.38900000000285
2011-12-12,-659.25
2011-12-13,-35.30709999999817
2011-12-14,-1455.7249999999985
2011-12-15,217.11739999999554
2011-12-16,262.4432000000015
2011-12-19,-304.80949999999575
2011-12-20,533.25
2011-12-21,322.0
2011-12-22,208.75
2011-12-23,199.75
2011-12-27,737.5
2011-12-28,216.0
2011-12-29,-119.30109999999695
2011-12-30,564.3503800000035
2012-01-03,538.1825559999997
2012-01-04,-23.565199999997276
2012-01-05,-755.5504999999976
2012-01-06,-227.40000000000146
2012-01-09,934.5550000000003
2012-01-10,-19.0
2012-01-11,-330.0
2012-01-12,-1251.3400000000038
2012-01-13,-107.54750000000058
2012-01-17,423.279512000001
2012-01-18,172.84191499999724
2012-01-19,57.38535199999751
2012-01-20,-219.81939999999304
2012-01-23,553.1045000000013
2012-01-24,-200.47999999999593
2012-01-25,824.8325000000041
2012-01-26,460.1875
2012-01-27,329.16399999999703
2012-01-30,-466.83899999999994
2012-01-31,-466.4850000000006
2012-02-01,599.6300000000047
2012-02-02,-220.70849999999336
2012-02-03,-483.5
2012-02-13,-543.2946000000011
2012-02-14,-111.07500000000437
2012-02-15,-161.77999999999884
2012-02-16,-74.02500000000146
2012-02-17,20.05500000000029
2012-02-21,552.0699999999997
2012-02-22,309.72000000000116
2012-02-23,421.26000000000204
2012-02-24,4.440000000002328
2012-02-27,-165.40000000000873
2012-02-28,-19.50999999999476
2012-02-29,-331.59999999999127
2012-03-01,379.54999999999563
2012-03-02,-258.77999999999884
2012-03-05,6.430000000000291
2012-03-06,-411.0599999999977
2012-03-07,129.69800000000396
2012-03-08,353.76720000000205
2012-03-09,97.98240000000806
2012-03-12,-194.12140000000363
2012-03-13,154.09131500000512
2012-03-14,-216.6803
2012-03-15,208.51617599999736
2012-03-16,228.67139999999927
2012-03-19,-40.589672999994946
2012-03-20,-342.16605100000015
2012-03-21,52.61280000000261
2012-03-22,-217.27520000000368
2012-03-23,93.55000000001019
2012-03-26,430.0399999999936
2012-03-27,151.1999999999971
2012-03-28,-340.08000000000175
2012-03-29,112.60000000000582
2012-03-30,261.8050000000003
2012-04-02,383.23999999999796
2012-04-03,30.459999999999127
2012-04-04,-99.15999999999622
2012-04-05,472.54999999998836
2012-04-09,-163.27499999999418
2012-04-10,205.9728449999966
2012-04-11,40.931951999999
2012-04-12,167.14763200000016
2012-04-13,-198.89078399999562
2012-04-16,-71.23243999999977
2012-04-17,148.7216799999951
2012-04-18,-324.1069359999965
2012-04-19,257.13526300000376
2012-04-20,321.04453099999955
2012-04-23,252.8055450000029
2012-04-24,344.30070800000976
2012-04-25,78.49219999999332
2012-04-26,-352.0195340000064
2012-04-27,-140.1044600000023
2012-04-30,-54.71586399999069
2012-05-01,-46.185584999999264
2012-05-02,-290.79999999999563
2012-05-03,-507.50185000000056
2012-05-04,-308.5815999999977
2012-05-07,160.22876999999426
2012-05-08,-585.2922880000042
2012-05-09,-145.3783620000031
2012-05-10,281.19860999999946
2012-05-11,-628.2276800000036
2012-05-14,5.861272000001918
2012-05-15,-209.3788280000008
2012-05-16,582.5746519999957
2012-05-17,433.30797999999777
2012-05-18,600.7000019999978
2012-05-21,-44.41976799999975
2012-05-22,-218.74683499999082
2012-05-23,-146.62559000001056
2012-05-24,-194.22615499999665
2012-05-25,-171.82589200000803
2012-05-29,243.71138000000792
2012-05-30,110.32569599999988
2012-05-31,670.6657100000011
2012-06-01,170.23677099999622
2012-06-04,-61.42654400000174
2012-06-05,-108.73135799999727
2012-06-06,138.9336900000053
2012-06-07,-105.40000000000146
2012-06-08,116.75
2012-06-11,-80.6649999999936
2012-06-12,-38.17500000000291
2012-06-13,-46.75
2012-06-14,86.34065599999303
2012-06-15,-217.75517599999148
2012-06-18,421.65000000000146
2012-06-19,-174.22500000000582
2012-06-20,-1646.300000000003
2012-06-21,-889.3000000000029
2012-06-22,-652.7940539999981
2012-06-25,-361.84300000000076
2012-06-26,299.59939999999915
2012-06-27,-88.09200000000419
2012-06-28,-178.988400000002
2012-06-29,15.330000000009022
2012-07-02,-172.08000000000175
2012-07-03,823.0074999999997
2012-07-05,1771.5219999999972
2012-07-06,-2447.510000000002
2012-07-09,523.5699999999997
2012-07-10,372.6649999999936
2012-07-11,-501.52999999999884
2012-07-12,184.10499999999593
2012-07-13,699.2850000000035
2012-07-16,1394.6650000000009
2012-07-17,-416.67471300000034
2012-07-18,316.26302799999394
2012-07-20,1072.2596000000049
2012-07-23,-3014.709999999999
2012-07-24,-0.584391999997024
2012-07-25,513.8036859999993
2012-07-26,-301.01090000000113
2012-07-27,570.5278250000047
2012-07-30,581.770832000002
2012-07-31,-188.1092429999917
2012-08-01,-150.21721599999728
2012-08-02,24.60253200000443
2012-08-03,356.2492540000021
2012-08-06,151.63053500000387
2012-08-07,-209.65439999999944
2012-08-08,47.842499999998836
2012-08-09,103.61319999999978
2012-08-10,100.16510000000562
2012-08-13,-167.66979999999603
2012-08-14,-88.58409999999276
2012-08-15,30.951600000000326
2012-08-16,286.30199999999604
2012-08-17,142.9748000000036
2012-08-20,-65.07909999999538
2012-08-21,292.89080000000104
2012-08-22,410.68049999999494
2012-08-23,134.37000000000262
2012-08-24,153.40000000000146
2012-08-27,-101.5
